Season,RaceNumber,Driver,Team,FP1,FP2,FP3,Qualifying,SprintShootout,Sprint,Race
2018,11,Fernando Alonso,McLaren,12.0,17.0,,11.0,,,16.0
2018,11,Lance Stroll,Williams,13.0,18.0,9.0,19.0,,,17.0
2018,11,Carlos Sainz,Renault,14.0,12.0,16.0,8.0,,,12.0
2018,11,Brendon Hartley,Toro Rosso,15.0,16.0,6.0,18.0,,,10.0
2018,11,Sergey Sirotkin,Williams,16.0,19.0,3.0,12.0,,,19.0
2018,11,Nicholas Latifi,Force India,17.0,,,,,,
2018,11,Pierre Gasly,Toro Rosso,18.0,15.0,5.0,17.0,,,14.0
2018,11,Antonio Giovinazzi,Sauber,19.0,,,,,,
2018,11,Stoffel Vandoorne,McLaren,20.0,20.0,14.0,20.0,,,13.0
2018,11,Esteban Ocon,Force India,,10.0,10.0,16.0,,,8.0
2018,11,Marcus Ericsson,Sauber,,14.0,2.0,13.0,,,9.0
2018,12,Daniel Ricciardo,Red Bull Racing,1.0,3.0,5.0,12.0,,,4.0
2018,12,Sebastian Vettel,Ferrari,2.0,1.0,1.0,4.0,,,2.0
2018,12,Max Verstappen,Red Bull Racing,3.0,2.0,6.0,7.0,,,19.0
2018,12,Kimi Räikkönen,Ferrari,4.0,4.0,3.0,3.0,,,3.0
2018,12,Lewis Hamilton,Mercedes,5.0,5.0,4.0,1.0,,,1.0
2018,12,Valtteri Bottas,Mercedes,6.0,6.0,2.0,2.0,,,5.0
2018,12,Romain Grosjean,Haas F1 Team,7.0,7.0,9.0,10.0,,,10.0
2018,12,Nico Hulkenberg,Renault,8.0,14.0,8.0,13.0,,,12.0
2018,12,Carlos Sainz,Renault,9.0,8.0,7.0,5.0,,,9.0
2018,12,Kevin Magnussen,Haas F1 Team,10.0,13.0,11.0,9.0,,,7.0
2018,12,Pierre Gasly,Toro Rosso,11.0,9.0,10.0,6.0,,,6.0
2018,12,Fernando Alonso,McLaren,12.0,12.0,14.0,11.0,,,8.0
2018,12,Brendon Hartley,Toro Rosso,13.0,15.0,12.0,8.0,,,11.0
2018,12,Lance Stroll,Williams,14.0,18.0,20.0,15.0,,,17.0
2018,12,Esteban Ocon,Force India,15.0,10.0,15.0,18.0,,,13.0
2018,12,Stoffel Vandoorne,McLaren,16.0,19.0,17.0,16.0,,,18.0
2018,12,Sergio Perez,Force India,17.0,11.0,19.0,19.0,,,14.0
2018,12,Antonio Giovinazzi,Sauber,18.0,,,,,,
2018,12,Sergey Sirotkin,Williams,19.0,20.0,16.0,20.0,,,16.0
2018,12,Marcus Ericsson,Sauber,20.0,16.0,18.0,14.0,,,15.0
2018,12,Charles Leclerc,Sauber,,17.0,13.0,17.0,,,20.0
2018,13,Sebastian Vettel,Ferrari,1.0,5.0,1.0,2.0,,,1.0
2018,13,Max Verstappen,Red Bull Racing,2.0,4.0,5.0,7.0,,,3.0
2018,13,Lewis Hamilton,Mercedes,3.0,2.0,3.0,1.0,,,2.0
2018,13,Kimi Räikkönen,Ferrari,4.0,1.0,2.0,6.0,,,17.0
2018,13,Valtteri Bottas,Mercedes,5.0,3.0,4.0,10.0,,,4.0
2018,13,Daniel Ricciardo,Red Bull Racing,6.0,6.0,6.0,8.0,,,16.0
2018,13,Esteban Ocon,Force India,7.0,13.0,10.0,3.0,,,6.0
2018,13,Nico Hulkenberg,Renault,8.0,11.0,9.0,15.0,,,20.0
2018,13,Sergio Perez,Force India,9.0,7.0,8.0,4.0,,,5.0
2018,13,Carlos Sainz,Renault,10.0,8.0,13.0,16.0,,,11.0
2018,13,Pierre Gasly,Toro Rosso,11.0,15.0,15.0,11.0,,,9.0
