w_rf,w_xgb,w_mlp,median_rho,mean_rho,rho_gt_05,mae,r2
0.5,0.25,0.25,0.7518796992481201,0.7079269602577872,31,3.08,0.4158539205155747
0.5,0.3,0.2,0.7458646616541353,0.7090440386680986,31,3.0828571428571427,0.4180880773361977
0.5,0.35,0.15,0.7473684210526315,0.7076691729323308,31,3.097142857142857,0.4153383458646617
0.5,0.4,0.1,0.7473684210526315,0.7062513426423199,31,3.105714285714286,0.4125026852846402
0.5,0.45,0.05,0.7473684210526315,0.7058646616541353,31,3.1142857142857143,0.4117293233082707
0.55,0.05,0.4,0.7488721804511278,0.7089151450053705,31,3.0885714285714285,0.4178302900107411
0.55,0.1,0.35,0.7563909774436091,0.7095596133190117,31,3.0828571428571427,0.4191192266380236
0.55,0.15,0.3,0.7428571428571428,0.7083995703544576,31,3.0714285714285716,0.4167991407089151
0.55,0.2,0.25,0.7518796992481201,0.7083566058002148,31,3.08,0.4167132116004296
0.55,0.25,0.2,0.7518796992481201,0.7081847475832438,31,3.0914285714285716,0.4163694951664877
0.55,0.3,0.15,0.7518796992481201,0.7068098818474757,31,3.0942857142857143,0.4136197636949517
0.55,0.35,0.1,0.7518796992481201,0.7062513426423199,31,3.1085714285714285,0.4125026852846402
0.55,0.4,0.05,0.7473684210526315,0.7058646616541352,31,3.111428571428571,0.4117293233082707
0.6,0.05,0.35,0.7563909774436091,0.7093877551020408,31,3.08,0.41877551020408166
0.6,0.1,0.3,0.7518796992481201,0.7082706766917294,31,3.0828571428571427,0.41654135338345866
0.6,0.15,0.25,0.7518796992481201,0.7069817400644467,31,3.0914285714285716,0.4139634801288936
0.6,0.2,0.2,0.7518796992481201,0.7077551020408163,31,3.085714285714286,0.41551020408163264
0.6,0.25,0.15,0.7518796992481201,0.7076691729323307,31,3.085714285714286,0.4153383458646617
0.6,0.3,0.1,0.7518796992481201,0.7076691729323308,31,3.1,0.4153383458646617
0.6,0.35,0.05,0.7533834586466165,0.7049194414607948,31,3.111428571428571,0.40983888292158965
0.65,0.05,0.3,0.7548872180451127,0.7077121374865735,31,3.0914285714285716,0.41542427497314716
0.65,0.1,0.25,0.7518796992481201,0.707798066595059,31,3.08,0.4155961331901181
0.65,0.15,0.2,0.7518796992481201,0.7069817400644467,31,3.085714285714286,0.4139634801288936
0.65,0.2,0.15,0.7518796992481201,0.7076691729323308,31,3.0885714285714285,0.4153383458646617
0.65,0.25,0.1,0.7533834586466165,0.7064661654135338,31,3.1,0.4129323308270677
0.65,0.3,0.05,0.7473684210526315,0.7047905477980665,30,3.1085714285714285,0.4095810955961332
0.7,0.05,0.25,0.7518796992481201,0.7063802363050483,31,3.0914285714285716,0.41276047261009663
0.7,0.1,0.2,0.7518796992481201,0.7062943071965628,31,3.0914285714285716,0.41258861439312566
0.7,0.15,0.15,0.7533834586466165,0.7067669172932329,31,3.0914285714285716,0.4135338345864662
0.7,0.2,0.1,0.7503759398496239,0.7058646616541354,31,3.1,0.4117293233082707
0.7,0.25,0.05,0.7503759398496239,0.704704618689581,30,3.1142857142857143,0.40940923737916224
0.75,0.05,0.2,0.7518796992481201,0.7068098818474758,31,3.0942857142857143,0.4136197636949517
0.75,0.1,0.15,0.7533834586466165,0.7077121374865735,31,3.085714285714286,0.41542427497314716
0.75,0.15,0.1,0.7458646616541353,0.7056498388829215,31,3.105714285714286,0.4112996777658432
0.75,0.2,0.05,0.7503759398496239,0.7052631578947368,30,3.111428571428571,0.41052631578947374
0.8,0.05,0.15,0.7503759398496239,0.7065091299677766,31,3.105714285714286,0.4130182599355532
0.8,0.1,0.1,0.7503759398496239,0.7047046186895811,30,3.111428571428571,0.40940923737916224
0.8,0.15,0.05,0.7503759398496239,0.7052201933404941,30,3.1085714285714285,0.41044038668098815
0.85,0.05,0.1,0.7503759398496239,0.7060365198711063,30,3.1028571428571428,0.41207303974221265
